order_placement,customer_name,time_of_order,location,product_id,quantity,payment_method
2025-04-22 20:53:50.142863,Mary Smith,00:43:53,"North Sean, Oregon, Djibouti - 23806",ELEC-CAM-0004,3,Credit Card
2025-04-30 16:09:02.375671,Keith Rasmussen,16:12:05,"Carterview, New York, Sudan - 06664",APPR-SHS-0003,5,Debit Card
2025-04-25 13:09:39.074006,Craig Montoya,19:34:33,"Anatown, Georgia, Palau - 58475",GROC-VEG-0003,1,Debit Card
2025-04-07 08:36:52.671843,Kelly Weaver,09:14:18,"North Luis, Tennessee, Samoa - 56601",ELEC-LAP-0001,3,Debit Card
2025-05-02 05:01:13.480264,Edward Weber,17:58:32,"Lemouth, Connecticut, Ireland - 67697",APPR-JKT-0003,2,Credit Card
2025-04-29 10:22:02.278278,Travis Olson,21:41:07,"Ramseyshire, Colorado, Poland - 71488",FURN-BED-0003,3,Credit Card
2025-04-09 06:27:28.712419,Tammy Hampton,15:51:24,"Estesmouth, Iowa, Kiribati - 91018",AUTO-FIL-0008,4,Credit Card
2025-04-04 08:51:09.858814,Justin Hawkins,06:45:49,"Port Brianna, Rhode Island, Martinique - 78384",ELEC-CAM-0008,4,Credit Card
2025-04-29 23:49:45.233637,Anthony Fox,05:45:26,"Lake Cesar, Rhode Island, Saint Martin - 86058",ELEC-CAM-0003,5,Debit Card
2025-04-25 20:21:01.910768,Nicholas Taylor,07:04:17,"Natashastad, New York, Malawi - 49794",GROC-FRT-0001,1,Paypal
2025-04-26 22:36:36.247875,Sarah Gray,04:07:46,"Lake Anthony, Maryland, Puerto Rico - 50757",FURN-BED-0003,2,Credit Card
2025-04-17 08:54:05.613599,Donald Patel,23:59:07,"Tuckerburgh, North Dakota, Papua New Guinea - 03675",GROC-FRT-0004,5,Credit Card
2025-05-02 22:52:11.280333,Christopher Little,02:51:47,"South Russell, California, Luxembourg - 70123",AUTO-FIL-0004,2,Paypal
2025-04-05 02:51:35.823012,Lawrence Bailey,02:54:49,"Jessicamouth, North Dakota, Estonia - 03248",ELEC-TAB-0002,3,Debit Card
2025-04-06 02:34:15.632084,Lucas Henderson,15:09:49,"Troyfort, Florida, Norfolk Island - 66273",AUTO-FIL-0008,4,Credit Card
2025-04-12 15:43:18.836532,Theresa Zimmerman,06:06:51,"Lake Michael, New York, Norway - 85141",FURN-CAB-0005,4,Debit Card
2025-04-18 00:40:28.178604,Kristen Pierce,06:24:02,"South Deborah, Tennessee, Libyan Arab Jamahiriya - 84252",FURN-CHR-0009,5,Credit Card
2025-04-28 01:23:14.574011,Rachael Foster,09:14:20,"New Jasonshire, Wyoming, Equatorial Guinea - 29353",APPR-JNS-0002,4,Paypal
2025-04-04 10:23:33.646919,Carrie Freeman,18:17:29,"West Brittney, Virginia, Azerbaijan - 94842",FURN-BED-0001,3,Credit Card
2025-04-11 05:47:27.987276,Alexis Avila,13:37:39,"Port Alexandriamouth, Nevada, Comoros - 33103",APPR-SHT-0009,5,Credit Card
2025-04-18 07:49:30.498482,Erica Cole,03:36:55,"East Christianchester, Vermont, Sudan - 21399",GROC-FRT-0004,3,Paypal
2025-04-30 13:06:50.800096,Nicholas Jackson,22:18:18,"Alyssaville, New Hampshire, Qatar - 43486",FURN-CHR-0002,3,Paypal
2025-04-06 20:28:43.636363,Paige Li,13:53:22,"East Ryanmouth, Utah, Germany - 56507",FURN-BED-0004,5,Credit Card
2025-04-22 04:05:11.122287,Troy Rodriguez,18:10:36,"Lake Billyside, West Virginia, Peru - 48545",GROC-FRT-0001,2,Credit Card
2025-04-28 20:16:26.673239,Perry Long,16:55:41,"Williamsland, Tennessee, Norfolk Island - 04273",APPR-SHS-0002,1,Paypal
2025-04-08 16:19:44.023175,Linda Gill,02:30:17,"North Brandon, Indiana, Singapore - 52061",ELEC-CAM-0003,4,Debit Card
2025-04-11 19:44:22.137605,Caroline Graham,18:52:47,"New Dominiquemouth, Michigan, Saint Kitts and Nevis - 14393",AUTO-FIL-0006,4,Paypal
2025-04-24 07:08:36.385033,Kevin Andrews,07:27:23,"Curryport, Wyoming, Philippines - 86170",APPR-SHS-0008,2,Credit Card
2025-04-17 00:54:04.785872,Vicki Lang,00:24:49,"Ryanside, Oklahoma, Denmark - 33674",APPR-SHT-0005,2,Paypal
2025-05-03 05:28:13.051411,Tina Bell,10:36:45,"North Nicholaston, Tennessee, Iraq - 59662",APPR-SHS-0007,1,Debit Card
2025-05-01 08:03:50.359177,Brett Campos,19:52:05,"Walkerborough, Delaware, Estonia - 39795",AUTO-FIL-0009,2,Paypal
2025-04-27 15:59:45.163734,Ryan Robinson,02:53:38,"Walkerberg, Washington, Niger - 44271",APPR-JNS-0001,1,Paypal
2025-04-07 00:03:45.542616,Jonathan Hill,23:27:13,"Christopherfort, Wisconsin, Cape Verde - 83781",AUTO-FIL-0003,3,Credit Card
2025-04-22 07:48:39.600993,Sarah Lee DDS,09:46:37,"West Jerryview, Texas, Cambodia - 23873",APPR-SHS-0001,4,Paypal
2025-04-13 11:49:44.144876,Jane Vargas,17:55:43,"Lake Joseph, Virginia, Marshall Islands - 26536",ELEC-CAM-0004,4,Credit Card
2025-04-19 01:14:38.032665,Christopher Fisher,10:33:13,"Lake Kristine, Virginia, Korea - 25316",FURN-CHR-0006,2,Debit Card
2025-04-04 08:25:14.137678,Mary Simon,09:25:36,"East George, Utah, Taiwan - 54534",ELEC-LAP-0003,5,Paypal
2025-04-08 05:36:09.933578,Kimberly Morris,00:59:18,"New Jeremyside, Georgia, Pakistan - 36785",GROC-FRT-0006,2,Credit Card
2025-04-28 05:44:12.233387,Jonathan Rogers,04:51:37,"West Billy, Kentucky, Nepal - 10041",FURN-BED-0004,2,Paypal
2025-04-29 07:20:27.912981,Christopher Moore II,02:56:13,"North Brandonmouth, Montana, Cambodia - 72884",APPR-JNS-0002,3,Credit Card
2025-04-26 11:26:41.979893,David Armstrong,07:34:24,"New Manuel, Mississippi, Myanmar - 64230",AUTO-FIL-0008,1,Credit Card
2025-04-27 10:58:44.941096,Katherine Reynolds,20:21:54,"East Michellefort, New Hampshire, Peru - 23834",APPR-SHS-0003,4,Paypal
2025-04-25 05:36:42.536989,Matthew Hoffman,17:38:50,"South Michele, Michigan, Gabon - 24623",AUTO-FIL-0002,3,Credit Card
2025-05-02 15:57:01.501974,Katherine Fields,06:55:47,"Miguelstad, Ohio, Myanmar - 27680",APPR-JKT-0002,1,Debit Card
2025-04-25 00:04:59.110414,Stephanie Perez,05:01:43,"East Michaelburgh, North Dakota, Kuwait - 48049",ELEC-CAM-0008,3,Paypal
2025-04-24 10:59:32.423071,Thomas Johnson,16:27:03,"Thomastown, Tennessee, Australia - 10058",AUTO-TIR-0004,5,Paypal
2025-04-16 08:45:21.603468,Jeffrey Odonnell,18:46:53,"Smithburgh, Michigan, Pakistan - 31845",APPR-JNS-0001,1,Credit Card
2025-04-14 17:49:47.882919,Caroline Singleton,18:07:15,"North Corey, Michigan, Chile - 77106",ELEC-SM-0007,3,Debit Card
2025-04-11 17:45:59.426647,Nicholas Raymond,23:08:47,"West Kimberlyville, Kansas, United Kingdom - 46920",GROC-BEV-0006,3,Credit Card
2025-04-21 10:57:19.669094,Lauren Roy,18:54:50,"Maryport, New Hampshire, Singapore - 53962",GROC-VEG-0008,1,Debit Card
2025-04-10 17:06:57.036800,Caitlin Davis,01:40:13,"Websterside, Illinois, Grenada - 70194",APPR-JKT-0001,2,Credit Card
2025-04-20 10:07:12.701336,Madison Klein,01:08:35,"Lake Ronaldfurt, Vermont, Albania - 82573",ELEC-LAP-0007,1,Paypal
2025-04-11 12:34:25.629047,Dr. Felicia Parker DDS,04:04:55,"Lake James, Alabama, Saint Vincent and the Grenadines - 09753",ELEC-TAB-0002,1,Credit Card
2025-04-05 11:08:19.717434,James Lynch,02:53:37,"Melissafort, Ohio, Belgium - 80798",ELEC-CAM-0009,2,Credit Card
2025-04-10 12:19:16.980443,Mercedes Lee,04:47:07,"North Ashley, North Dakota, United Arab Emirates - 42195",FURN-CAB-0004,4,Debit Card
2025-05-02 12:09:12.375799,John Gibson,20:50:53,"Delgadomouth, Maine, Malta - 34577",ELEC-CAM-0009,1,Credit Card
2025-04-24 08:02:32.809273,Jeffrey Willis,08:43:04,"Elizabethville, New Mexico, Vanuatu - 92896",GROC-FRT-0005,2,Debit Card
2025-04-27 05:58:12.391776,Marcus Rojas,20:50:04,"Robinsonside, South Dakota, Ethiopia - 97054",AUTO-FIL-0004,1,Credit Card
2025-04-21 14:54:07.081769,Patrick Young,07:02:56,"East Anthonyview, Pennsylvania, American Samoa - 29994",FURN-CHR-0006,3,Paypal
2025-04-27 13:49:05.415897,Jeffrey Fleming,19:44:38,"Sheilastad, Louisiana, Australia - 74381",FURN-CHR-0003,3,Credit Card
2025-04-19 00:20:29.845891,Angela Smith,17:24:11,"Port Pedro, Wyoming, Tonga - 18132",APPR-SHS-0001,2,Paypal
2025-05-02 06:02:26.882653,Richard Raymond DVM,02:36:32,"Clarkshire, New Jersey, British Virgin Islands - 66069",APPR-SHS-0003,3,Credit Card
2025-05-02 13:34:33.264467,Glenn Sanchez,12:52:30,"Michaelside, Missouri, Qatar - 73507",FURN-CHR-0003,3,Debit Card
2025-04-17 10:21:42.498192,Brenda Clark,21:56:42,"Kramerfurt, North Carolina, Sudan - 98305",ELEC-SM-0004,3,Credit Card
2025-04-20 04:29:41.317422,Stephanie Baker,08:37:21,"Meyerstown, Washington, Gabon - 05108",APPR-SHT-0011,3,Debit Card
2025-04-23 16:22:16.875643,Michael Porter,09:26:33,"Davidberg, North Carolina, Solomon Islands - 89855",ELEC-SM-0009,1,Credit Card
2025-04-18 05:56:21.634702,Kimberly Martin,20:04:03,"New Angela, Oregon, Tuvalu - 50109",AUTO-TIR-0003,3,Credit Card
2025-04-20 01:30:42.015751,Miss Jennifer Nash,05:37:45,"North Christopher, Illinois, Botswana - 62664",ELEC-CAM-0005,2,Credit Card
2025-04-07 16:02:44.235415,Matthew Strong,15:46:58,"North John, Wyoming, Niue - 61709",FURN-DSK-0005,3,Credit Card
2025-04-30 06:08:34.441113,Stacy Medina,15:24:02,"Lake Nicolemouth, Michigan, Greenland - 86504",AUTO-OIL-0001,1,Debit Card
2025-04-07 06:36:58.749855,Rebecca Waters,03:41:57,"North Kathleentown, Colorado, Liechtenstein - 04884",APPR-SHS-0008,2,Credit Card
2025-04-09 07:33:02.803419,Diane Collins,13:05:11,"Bowmanview, New Mexico, Anguilla - 17151",ELEC-CAM-0001,2,Paypal
2025-04-15 09:46:10.053318,Troy Burgess,08:49:10,"East James, Oklahoma, Malaysia - 55588",FURN-CHR-0004,5,Paypal
2025-04-07 10:40:55.080783,Andrea Morris,00:59:22,"South Jared, Kentucky, Pitcairn Islands - 76461",ELEC-CAM-0009,3,Paypal
2025-04-15 03:53:56.146509,Edwin Villegas,04:44:01,"South Davidfurt, Alaska, Greece - 81292",AUTO-BAT-0001,3,Debit Card
2025-04-28 18:27:46.853510,Rachel Wise,17:57:56,"East Amy, Oklahoma, Chile - 37045",GROC-FRT-0006,2,Paypal
2025-04-11 13:49:51.822106,Hannah Sullivan,11:55:03,"West Anthonybury, Hawaii, Kenya - 20816",AUTO-BAT-0002,5,Paypal
2025-04-29 15:36:15.463525,Kimberly Salazar,11:44:53,"Thomasbury, Iowa, Dominica - 40777",APPR-SHS-0006,1,Debit Card
2025-04-26 20:32:49.225414,Lisa Underwood,08:34:06,"Bergerburgh, Colorado, Saint Martin - 56324",FURN-BED-0006,2,Debit Card
2025-04-13 21:12:20.965506,Lisa Dean DDS,11:08:34,"East Markstad, Oklahoma, Ethiopia - 34337",GROC-BEV-0007,5,Credit Card
2025-04-25 18:07:44.936069,Robert Taylor,18:39:39,"Jonesport, South Dakota, Kazakhstan - 46551",ELEC-LAP-0007,3,Debit Card
2025-04-08 09:27:34.704408,Eric White,15:08:55,"Williamborough, Delaware, Sao Tome and Principe - 82532",ELEC-LAP-0006,2,Paypal
2025-04-16 14:44:02.979154,John Lara,16:18:38,"Port Eric, Alaska, Bosnia and Herzegovina - 80758",APPR-SHS-0001,2,Debit Card
2025-04-11 15:26:06.872236,Stacey Oneal,12:38:12,"Port Maryport, New Mexico, Iran - 16327",ELEC-LAP-0003,3,Credit Card
2025-04-04 23:42:25.002327,Anthony Medina,01:36:40,"Murilloport, Missouri, Rwanda - 66384",APPR-SHS-0004,1,Paypal
2025-04-16 20:12:33.478496,Amy Jackson,09:33:01,"West Dawnfort, New Jersey, United Kingdom - 37329",AUTO-TIR-0003,3,Paypal
2025-04-28 14:40:31.767550,Courtney Schmidt,06:26:21,"Port Elizabethmouth, Wisconsin, Bangladesh - 70249",FURN-CHR-0004,2,Credit Card
2025-04-22 09:22:35.442883,Shelley Edwards,15:33:12,"Scottfurt, Massachusetts, French Southern Territories - 35668",FURN-DSK-0006,4,Debit Card
2025-04-22 14:11:43.459936,Sabrina Mcbride,13:59:54,"South Barbara, Pennsylvania, Cambodia - 88521",GROC-FRT-0005,5,Debit Card
2025-04-23 02:29:38.821645,Joseph Clark,02:34:47,"East Larryburgh, North Carolina, South Georgia and the South Sandwich Islands - 27128",AUTO-BAT-0001,2,Paypal
2025-04-09 02:55:50.858330,Andre Nunez,08:26:49,"Cassandraburgh, Oklahoma, Nauru - 78045",APPR-JNS-0001,4,Debit Card
2025-04-26 12:45:24.733502,Allison Andrade,05:11:10,"Martinezshire, Ohio, Turks and Caicos Islands - 54474",APPR-SHS-0010,4,Paypal
2025-04-19 16:26:14.322995,Elizabeth Figueroa,15:13:22,"Lloydbury, Iowa, Brunei Darussalam - 83260",GROC-FRT-0002,4,Debit Card
2025-04-17 23:20:03.004296,Melinda Bowman,06:29:44,"Jamesside, Arkansas, Moldova - 23469",GROC-SNK-0001,1,Debit Card
2025-04-07 00:42:58.455309,Andrea Watson,22:15:12,"North Connieborough, Connecticut, Heard Island and McDonald Islands - 44778",ELEC-LAP-0010,5,Credit Card
2025-05-02 18:35:15.832475,Elizabeth Williams,17:01:37,"North Isaacbury, California, Timor-Leste - 05895",APPR-SHT-0002,2,Paypal
2025-04-28 04:39:22.295362,Sandra Farrell,09:11:47,"New Timothy, North Dakota, United Arab Emirates - 95761",ELEC-CAM-0001,3,Debit Card
2025-04-20 06:02:19.116676,Deanna Knight,09:33:03,"North Sara, West Virginia, Ethiopia - 08485",GROC-SNK-0008,2,Credit Card
2025-04-08 09:40:29.820643,David Anderson,22:49:02,"Stephenside, Florida, Hong Kong - 41312",APPR-SHS-0005,3,Debit Card
2025-04-04 10:56:19.150171,Kimberly King,14:40:04,"Port Jenniferfurt, Nebraska, Poland - 48496",APPR-SHT-0003,3,Paypal
2025-04-13 04:37:26.157021,Frank Young,04:01:28,"North Coreyland, Connecticut, El Salvador - 43737",APPR-SHT-0005,2,Credit Card
2025-04-09 06:05:46.411728,Jill Cook,11:17:56,"Diazville, Michigan, Tokelau - 57930",AUTO-FIL-0006,5,Paypal
2025-04-24 22:01:42.378903,William Padilla,16:54:28,"Port Jasonland, Georgia, Norfolk Island - 33762",FURN-DSK-0006,2,Debit Card
2025-04-27 09:32:24.884905,Andrea Wilson,17:54:05,"Nancymouth, Maryland, Argentina - 70733",GROC-VEG-0001,3,Credit Card
2025-04-15 17:27:37.205696,Robert Miller,21:55:42,"New Leslie, New Hampshire, Tanzania - 03941",ELEC-SM-0001,2,Debit Card
2025-05-01 02:48:09.355052,David Martin,05:14:05,"Diazborough, Alabama, Malawi - 14627",AUTO-OIL-0006,5,Debit Card
2025-04-22 23:30:26.316046,Dawn Zavala,05:45:07,"South Davidport, Pennsylvania, Cyprus - 18406",ELEC-LAP-0002,3,Credit Card
2025-05-01 04:52:45.587978,Bradley Jones,13:33:19,"Huffmanfurt, Alaska, Cuba - 47808",GROC-VEG-0008,5,Paypal
2025-04-24 08:00:10.638927,Bradley Roberts,00:05:12,"Michaelstad, Maryland, Argentina - 70876",GROC-BEV-0001,2,Debit Card
2025-04-18 07:56:12.739789,Jeremiah Brown,00:46:11,"Middletonmouth, Mississippi, Cayman Islands - 23822",FURN-CHR-0005,4,Debit Card
2025-04-16 12:48:24.604028,Nicholas Mcneil,04:25:52,"Rickymouth, Indiana, Brunei Darussalam - 56374",AUTO-OIL-0001,1,Paypal
2025-05-02 15:27:51.322992,Kristina Atkins,11:41:41,"East Nathanton, Delaware, New Caledonia - 39216",GROC-BEV-0004,2,Paypal
2025-04-09 18:36:32.087883,Sara Franklin,19:39:25,"Rayside, Michigan, Jordan - 66554",ELEC-CAM-0001,4,Credit Card
2025-04-13 02:45:08.962303,Andre Davis,00:43:10,"Johnsonmouth, South Dakota, Zimbabwe - 91191",AUTO-OIL-0002,4,Credit Card
2025-04-12 23:38:52.712563,Pamela Williams,03:54:23,"East Shannon, Illinois, El Salvador - 84291",FURN-CAB-0001,4,Credit Card
2025-04-29 21:39:49.636934,Jaime Boyer,18:53:53,"South Donaldchester, Michigan, Guinea-Bissau - 93430",APPR-JNS-0001,4,Debit Card
2025-04-05 13:35:08.243862,Nicholas Callahan,16:06:15,"Steventon, Georgia, Congo - 67923",GROC-SNK-0001,1,Paypal
2025-05-02 08:49:59.654751,Daniel Rich,13:18:31,"Calebstad, Kentucky, Anguilla - 26282",GROC-FRT-0006,1,Paypal
2025-04-28 02:15:27.842116,Sandra Santos,12:03:20,"East Robert, Hawaii, Togo - 99769",AUTO-FIL-0001,1,Debit Card
2025-04-30 03:01:39.469290,Alan Deleon,22:11:14,"Daniellechester, Vermont, Netherlands Antilles - 83583",GROC-VEG-0003,2,Credit Card
2025-04-15 10:54:53.671289,Randy Miller DDS,11:58:38,"Lake Bruce, Missouri, Afghanistan - 78548",ELEC-TAB-0003,5,Paypal
2025-04-22 06:05:55.784207,Rodney Flores,03:53:38,"Melissabury, Nebraska, Lithuania - 76165",ELEC-SM-0001,3,Debit Card
2025-04-20 09:40:16.305595,Timothy Armstrong,04:49:50,"South Daniel, Massachusetts, British Indian Ocean Territory (Chagos Archipelago) - 11580",ELEC-CAM-0007,4,Credit Card
2025-04-26 12:29:09.692381,Katherine Ball,15:32:29,"Thompsonbury, Hawaii, Paraguay - 98287",GROC-FRT-0001,3,Paypal
2025-04-13 04:52:39.535480,Jessica Townsend,16:33:49,"Vargasside, Idaho, Equatorial Guinea - 53025",ELEC-CAM-0002,2,Credit Card
2025-04-14 16:31:00.220728,Jessica Parsons,13:40:03,"East Maryhaven, Louisiana, Belize - 29330",AUTO-FIL-0001,3,Debit Card
2025-04-24 13:09:18.316504,Mckenzie Wright,09:25:50,"Lake Erica, Nebraska, Somalia - 20573",AUTO-BAT-0004,4,Debit Card
2025-04-08 03:44:28.284522,Gregory Miller,04:42:13,"New Annaborough, New Hampshire, Timor-Leste - 19092",ELEC-CAM-0001,3,Paypal
2025-05-02 10:20:29.615326,Lisa Olsen,18:50:43,"Paultown, Wisconsin, Algeria - 23705",APPR-JKT-0001,5,Paypal
2025-04-19 06:22:54.260554,Elizabeth Clark,18:01:10,"Port Rhondatown, West Virginia, Greece - 00979",GROC-BEV-0001,3,Debit Card
2025-04-27 04:29:30.477552,Patrick Hill,14:42:22,"East Ashley, New York, Kuwait - 56103",FURN-CHR-0003,4,Credit Card
2025-04-08 05:14:12.067461,Mr. Darren Erickson,20:01:14,"Port Lori, Mississippi, Poland - 30620",AUTO-OIL-0001,1,Debit Card
2025-04-22 12:47:41.062861,Nicholas Marshall,12:11:51,"East Jennifer, Vermont, Germany - 35240",APPR-JKT-0004,5,Debit Card
2025-04-11 00:17:05.108505,Jane Mcbride,21:45:55,"Vargasview, Florida, United Arab Emirates - 34226",ELEC-LAP-0009,4,Paypal
2025-04-14 03:08:57.861819,Nancy Greer,13:07:07,"Carpenterside, Arkansas, Macao - 11155",GROC-BEV-0006,3,Debit Card
2025-04-14 00:22:54.038489,Jerry Moreno,06:56:52,"Hoffmanchester, Pennsylvania, Guyana - 24781",ELEC-SM-0003,4,Paypal
2025-04-25 13:26:54.800101,Justin Baldwin,19:12:43,"West Sandra, Kansas, Macao - 87818",AUTO-OIL-0003,2,Debit Card
2025-04-16 21:21:03.490165,Brian Chavez,18:31:52,"West Donna, Iowa, Jordan - 39006",AUTO-BAT-0001,2,Paypal
2025-04-13 14:45:35.855927,Gina Webb,14:25:26,"Lake Michaelland, Washington, Yemen - 76044",FURN-DSK-0004,3,Credit Card
2025-04-28 17:47:50.944126,Stefanie Johnson,21:50:09,"West Sarahmouth, Montana, Estonia - 27334",ELEC-TAB-0002,2,Debit Card
2025-04-19 22:08:41.821055,Robert Alvarez,12:55:32,"Port Alexandra, New Hampshire, Benin - 44096",GROC-VEG-0007,3,Credit Card
2025-04-09 13:26:22.135414,Jason Larsen,18:19:20,"Rickyborough, Florida, Botswana - 18630",GROC-VEG-0005,2,Debit Card
2025-04-08 14:17:44.359943,Kendra Arnold,19:38:51,"North Barbara, Maryland, Honduras - 08250",GROC-SNK-0007,4,Credit Card
2025-04-03 22:20:08.749141,Carlos Schultz,10:06:43,"Roseside, South Dakota, Tuvalu - 02940",AUTO-FIL-0002,3,Credit Card
2025-04-13 15:36:52.570671,Morgan Morales,14:45:04,"North Michael, New Mexico, Gibraltar - 28968",APPR-SHT-0005,4,Debit Card
2025-04-06 17:34:55.058763,Caleb Davis,01:05:04,"Donaldbury, Connecticut, Saint Helena - 29310",GROC-SNK-0001,2,Paypal
2025-04-23 03:46:17.840827,Zachary Randall,02:10:01,"New Brianaland, Kansas, Lao People's Democratic Republic - 73657",AUTO-OIL-0003,1,Paypal
2025-05-01 04:22:52.824453,Carla Schroeder,22:58:11,"South Victoria, Delaware, Belarus - 26820",APPR-JKT-0002,3,Paypal
2025-04-15 12:02:42.773648,Theresa Buchanan,18:25:50,"Ortizmouth, North Dakota, Bulgaria - 46544",AUTO-OIL-0004,3,Credit Card
2025-04-06 17:48:13.873387,Pamela Hall,01:26:05,"Ericaland, Oklahoma, Belgium - 59344",ELEC-TAB-0002,5,Debit Card
2025-04-05 21:34:46.800862,Jeffrey Mills,14:41:31,"Bradleychester, Nevada, Poland - 40179",GROC-VEG-0004,4,Credit Card
2025-04-22 05:09:30.861305,Colleen Novak,23:28:44,"West Alexandertown, New Hampshire, Armenia - 67909",GROC-BEV-0001,4,Credit Card
2025-04-11 08:44:46.547295,Aaron Harrison,02:13:40,"South Kiaramouth, Connecticut, Djibouti - 47777",ELEC-CAM-0002,1,Paypal
2025-04-17 07:48:06.955096,Crystal Burns,08:27:50,"New Ryan, North Dakota, Peru - 99376",AUTO-FIL-0006,3,Debit Card
2025-04-07 01:25:54.838891,Jerome Williams,20:51:00,"New Deborahmouth, New Jersey, Saint Lucia - 38477",AUTO-OIL-0002,4,Credit Card
2025-04-10 20:17:33.143702,Ann Walker,11:39:11,"Justinbury, Indiana, Zambia - 96497",ELEC-CAM-0001,5,Debit Card
2025-04-27 04:22:52.051752,Sonya Moore,13:06:05,"New Tiffanyville, Ohio, American Samoa - 13975",AUTO-BAT-0002,5,Debit Card
2025-05-02 10:12:35.049355,David Perez,19:42:33,"Brianside, Pennsylvania, Dominican Republic - 65692",AUTO-BAT-0002,3,Paypal
2025-04-07 22:47:14.813347,Mary Ward,20:51:45,"South Michael, Idaho, Marshall Islands - 23583",FURN-BED-0002,3,Paypal
2025-04-11 19:45:42.175199,Brandon Schneider,00:54:52,"North Diane, Delaware, El Salvador - 57885",GROC-BEV-0001,3,Paypal
