order_placement,customer_name,time_of_order,location,product_id,product_category,product_subcategory,quantity,payment_method,price,supplier,carrier,tracking_number,shipment_date,estimated_delivery,actual_delivery,status
2025-05-03 09:07:40.775762,Ashley Jenkins,22:23:50,"South Robertburgh, Iowa, Fiji - 65293",FURN-CAB-0003,Furniture,Cabinets,1,Credit Card,"$1,337.57",Supplier_7,Jones-White,EcJ-55494945,2025-05-03,2025-05-09,,In Transit
2025-04-05 06:10:10.905060,Sarah Camacho,01:21:13,"Rachelhaven, Texas, Taiwan - 30133",ELEC-SM-0003,Electronics,Smartphones,2,Credit Card,"$1,475.56",Supplier_3,Ball Inc,QtJ-25589711,2025-04-06,2025-04-08,2025-04-08,Delivered
2025-04-26 22:05:16.802866,Danielle Chapman,07:24:39,"Williamston, Pennsylvania, Italy - 66934",ELEC-TAB-0001,Electronics,Tablets,4,Credit Card,"$1,659.04",Supplier_6,"Powell, Davis and Peterson",PjC-84999719,2025-04-26,2025-05-01,2025-05-02,Delayed
2025-04-08 03:29:45.498580,Kathleen Nelson,20:40:09,"South Joshua, Utah, Vanuatu - 52121",ELEC-LAP-0003,Electronics,Laptops,4,Debit Card,"$1,804.80","Supplier_1, Supplier_4",Newton Group,rgQ-67243127,2025-04-08,2025-04-11,,In Transit
2025-04-04 14:34:39.007061,Felicia Nelson,22:05:31,"Port Laurastad, California, Cocos (Keeling) Islands - 26126",GROC-BEV-0005,Groceries,Beverages,3,Credit Card,$787.19,"Supplier_6, Supplier_10",Davis Ltd,qnP-90550121,2025-04-04,2025-04-11,2025-04-11,Delivered
2025-04-07 17:10:07.042459,Brandon Castro,10:53:45,"Hatfieldview, Illinois, Greece - 80112",AUTO-FIL-0003,Automotive,Filters,2,Paypal,$680.63,"Supplier_2, Supplier_10",Pierce Ltd,xBM-18934703,2025-04-09,2025-04-12,2025-04-12,Delivered
2025-04-20 06:20:02.295870,Mary Ramos,02:58:56,"Alvaradochester, Delaware, Holy See (Vatican City State) - 11625",GROC-SNK-0003,Groceries,Snacks,1,Paypal,$408.07,"Supplier_6, Supplier_7",Thomas-Warren,PzV-00373287,2025-04-20,2025-04-23,2025-04-23,Delivered
2025-05-02 18:13:53.149098,Michael Martin,11:36:44,"North Tammy, Washington, Belize - 50274",FURN-CHR-0007,Furniture,Chairs,1,Credit Card,$331.68,Supplier_3,"Miller, Ramos and Poole",WVi-47183806,2025-05-02,2025-05-04,2025-05-07,Delayed
2025-04-22 20:53:50.142863,Mary Smith,00:43:53,"North Sean, Oregon, Djibouti - 23806",ELEC-CAM-0004,Electronics,Cameras,3,Credit Card,$181.78,Supplier_2,"Suarez, Morris and Parker",TNa-18904361,2025-04-24,2025-04-29,,Cancelled
2025-04-30 16:09:02.375671,Keith Rasmussen,16:12:05,"Carterview, New York, Sudan - 06664",APPR-SHS-0003,Apparel,Shoes,5,Debit Card,$436.33,"Supplier_3, Supplier_2",Lee-Winters,zXq-25168493,2025-05-02,2025-05-08,,Processing
2025-04-25 13:09:39.074006,Craig Montoya,19:34:33,"Anatown, Georgia, Palau - 58475",GROC-VEG-0003,Groceries,Vegetables,1,Debit Card,$662.29,"Supplier_5, Supplier_6","Barnes, Rodriguez and King",agF-46748714,2025-04-26,2025-04-29,,Out for Delivery
2025-04-07 08:36:52.671843,Kelly Weaver,09:14:18,"North Luis, Tennessee, Samoa - 56601",ELEC-LAP-0001,Electronics,Laptops,3,Debit Card,$493.64,Supplier_10,Clark PLC,hwT-57037900,2025-04-08,2025-04-11,2025-04-11,Delivered
2025-05-02 05:01:13.480264,Edward Weber,17:58:32,"Lemouth, Connecticut, Ireland - 67697",APPR-JKT-0003,Apparel,Jackets,2,Credit Card,"$1,414.27",Supplier_3,"Moses, Mathis and Hansen",INI-59295070,2025-05-04,2025-05-07,,Cancelled
2025-04-29 10:22:02.278278,Travis Olson,21:41:07,"Ramseyshire, Colorado, Poland - 71488",FURN-BED-0003,Furniture,Beds,3,Credit Card,"$1,275.81",Supplier_9,Randolph-Potts,UUP-41667918,2025-04-29,2025-05-04,2025-05-04,Delivered
2025-04-09 06:27:28.712419,Tammy Hampton,15:51:24,"Estesmouth, Iowa, Kiribati - 91018",AUTO-FIL-0008,Automotive,Filters,4,Credit Card,$856.33,Supplier_1,Nash-Garrett,yhu-78298308,2025-04-10,2025-04-17,,In Transit
2025-04-04 08:51:09.858814,Justin Hawkins,06:45:49,"Port Brianna, Rhode Island, Martinique - 78384",ELEC-CAM-0008,Electronics,Cameras,4,Credit Card,$108.09,Supplier_3,"Ramsey, Anderson and Phillips",PRz-32727140,2025-04-04,2025-04-10,,Processing
2025-04-29 23:49:45.233637,Anthony Fox,05:45:26,"Lake Cesar, Rhode Island, Saint Martin - 86058",ELEC-CAM-0003,Electronics,Cameras,5,Debit Card,"$1,775.69","Supplier_6, Supplier_10","Juarez, Reyes and Valdez",hww-90140307,2025-04-30,2025-05-04,,Order Received
2025-04-25 20:21:01.910768,Nicholas Taylor,07:04:17,"Natashastad, New York, Malawi - 49794",GROC-FRT-0001,Groceries,Fruits,1,Paypal,$554.72,"Supplier_1, Supplier_2",Roberts PLC,loz-59107303,2025-04-26,2025-04-28,,Cancelled
2025-04-26 22:36:36.247875,Sarah Gray,04:07:46,"Lake Anthony, Maryland, Puerto Rico - 50757",FURN-BED-0003,Furniture,Beds,2,Credit Card,"$1,275.81",Supplier_9,Knapp-Fields,Ghr-75526531,2025-04-28,2025-05-03,2025-05-05,Delayed
2025-04-17 08:54:05.613599,Donald Patel,23:59:07,"Tuckerburgh, North Dakota, Papua New Guinea - 03675",GROC-FRT-0004,Groceries,Fruits,5,Credit Card,"$1,392.07","Supplier_1, Supplier_6","Lewis, Harrison and Nelson",ksI-60800940,2025-04-19,2025-04-24,,In Transit
2025-05-02 22:52:11.280333,Christopher Little,02:51:47,"South Russell, California, Luxembourg - 70123",AUTO-FIL-0004,Automotive,Filters,2,Paypal,"$1,246.55","Supplier_3, Supplier_2",Rubio and Sons,MAo-04778925,2025-05-04,2025-05-07,2025-05-07,Delivered
2025-04-05 02:51:35.823012,Lawrence Bailey,02:54:49,"Jessicamouth, North Dakota, Estonia - 03248",ELEC-TAB-0002,Electronics,Tablets,3,Debit Card,"$1,581.06",Supplier_5,"Gutierrez, Davis and Mann",vYW-63984671,2025-04-07,2025-04-13,,In Transit
2025-04-06 02:34:15.632084,Lucas Henderson,15:09:49,"Troyfort, Florida, Norfolk Island - 66273",AUTO-FIL-0008,Automotive,Filters,4,Credit Card,$856.33,Supplier_1,Paul PLC,AWj-25972944,2025-04-08,2025-04-13,,In Transit
2025-04-12 15:43:18.836532,Theresa Zimmerman,06:06:51,"Lake Michael, New York, Norway - 85141",FURN-CAB-0005,Furniture,Cabinets,4,Debit Card,$181.83,Supplier_6,"Pineda, Diaz and Harris",iqp-52767767,2025-04-14,2025-04-17,,Out for Delivery
2025-04-18 00:40:28.178604,Kristen Pierce,06:24:02,"South Deborah, Tennessee, Libyan Arab Jamahiriya - 84252",FURN-CHR-0009,Furniture,Chairs,5,Credit Card,$627.34,Supplier_1,Perez and Sons,lnK-49693493,2025-04-19,2025-04-25,2025-04-25,Delivered
2025-04-28 01:23:14.574011,Rachael Foster,09:14:20,"New Jasonshire, Wyoming, Equatorial Guinea - 29353",APPR-JNS-0002,Apparel,Jeans,4,Paypal,$545.89,Supplier_8,"Smith, Scott and Butler",Dyq-78809314,2025-04-30,2025-05-04,2025-05-04,Delivered
2025-04-04 10:23:33.646919,Carrie Freeman,18:17:29,"West Brittney, Virginia, Azerbaijan - 94842",FURN-BED-0001,Furniture,Beds,3,Credit Card,$289.49,Supplier_7,"Friedman, Perkins and Garza",AAl-66915638,2025-04-06,2025-04-13,2025-04-14,Delayed
2025-04-11 05:47:27.987276,Alexis Avila,13:37:39,"Port Alexandriamouth, Nevada, Comoros - 33103",APPR-SHT-0009,Apparel,Shirts,5,Credit Card,$838.60,"Supplier_6, Supplier_8","Perez, Kelly and Brown",Nkg-96973549,2025-04-11,2025-04-17,2025-04-17,Delivered
2025-04-18 07:49:30.498482,Erica Cole,03:36:55,"East Christianchester, Vermont, Sudan - 21399",GROC-FRT-0004,Groceries,Fruits,3,Paypal,"$1,392.07","Supplier_1, Supplier_6",Gibson Ltd,ToZ-80098993,2025-04-18,2025-04-25,2025-04-25,Delivered
2025-04-30 13:06:50.800096,Nicholas Jackson,22:18:18,"Alyssaville, New Hampshire, Qatar - 43486",FURN-CHR-0002,Furniture,Chairs,3,Paypal,$50.51,Supplier_9,Hurst-Lynch,MTT-16292022,2025-04-30,2025-05-06,2025-05-06,Delivered
2025-04-06 20:28:43.636363,Paige Li,13:53:22,"East Ryanmouth, Utah, Germany - 56507",FURN-BED-0004,Furniture,Beds,5,Credit Card,$647.14,"Supplier_10, Supplier_2","Gillespie, Bright and Olson",QhZ-62946120,2025-04-07,2025-04-10,2025-04-10,Delivered
2025-04-22 04:05:11.122287,Troy Rodriguez,18:10:36,"Lake Billyside, West Virginia, Peru - 48545",GROC-FRT-0001,Groceries,Fruits,2,Credit Card,$554.72,"Supplier_1, Supplier_2","Ross, Campbell and Rodriguez",BGA-14860726,2025-04-22,2025-04-27,,In Transit
2025-04-28 20:16:26.673239,Perry Long,16:55:41,"Williamsland, Tennessee, Norfolk Island - 04273",APPR-SHS-0002,Apparel,Shoes,1,Paypal,$390.74,Supplier_5,Tran-Scott,AtQ-11056187,2025-04-28,2025-05-05,,In Transit
2025-04-08 16:19:44.023175,Linda Gill,02:30:17,"North Brandon, Indiana, Singapore - 52061",ELEC-CAM-0003,Electronics,Cameras,4,Debit Card,"$1,775.69","Supplier_6, Supplier_10",Olson Ltd,mJs-32114758,2025-04-10,2025-04-12,,In Transit
2025-04-11 19:44:22.137605,Caroline Graham,18:52:47,"New Dominiquemouth, Michigan, Saint Kitts and Nevis - 14393",AUTO-FIL-0006,Automotive,Filters,4,Paypal,$771.81,Supplier_2,"Padilla, Duncan and Schwartz",Syt-85763135,2025-04-12,2025-04-18,2025-04-18,Delivered
2025-04-24 07:08:36.385033,Kevin Andrews,07:27:23,"Curryport, Wyoming, Philippines - 86170",APPR-SHS-0008,Apparel,Shoes,2,Credit Card,$51.01,"Supplier_4, Supplier_2",Cruz Group,VBz-68767861,2025-04-25,2025-04-30,,In Transit
2025-04-17 00:54:04.785872,Vicki Lang,00:24:49,"Ryanside, Oklahoma, Denmark - 33674",APPR-SHT-0005,Apparel,Shirts,2,Paypal,$867.24,"Supplier_1, Supplier_3","Mack, Yu and Gill",BUR-74885141,2025-04-18,2025-04-22,,In Transit
2025-05-03 05:28:13.051411,Tina Bell,10:36:45,"North Nicholaston, Tennessee, Iraq - 59662",APPR-SHS-0007,Apparel,Shoes,1,Debit Card,$755.58,Supplier_9,Armstrong PLC,JbB-73747214,2025-05-04,2025-05-10,,Order Received
2025-05-01 08:03:50.359177,Brett Campos,19:52:05,"Walkerborough, Delaware, Estonia - 39795",AUTO-FIL-0009,Automotive,Filters,2,Paypal,$796.77,Supplier_7,"Jones, Bailey and Pearson",hRU-81150376,2025-05-01,2025-05-07,,Cancelled
2025-04-27 15:59:45.163734,Ryan Robinson,02:53:38,"Walkerberg, Washington, Niger - 44271",APPR-JNS-0001,Apparel,Jeans,1,Paypal,$459.48,Supplier_7,Cain-Hansen,oVT-33227369,2025-04-28,2025-05-02,,Cancelled
2025-04-07 00:03:45.542616,Jonathan Hill,23:27:13,"Christopherfort, Wisconsin, Cape Verde - 83781",AUTO-FIL-0003,Automotive,Filters,3,Credit Card,$680.63,"Supplier_2, Supplier_10","Farrell, Nunez and Ruiz",MRc-22810458,2025-04-09,2025-04-13,2025-04-13,Delivered
2025-04-22 07:48:39.600993,Sarah Lee DDS,09:46:37,"West Jerryview, Texas, Cambodia - 23873",APPR-SHS-0001,Apparel,Shoes,4,Paypal,$959.30,"Supplier_9, Supplier_6",Chambers Inc,bTa-70762522,2025-04-22,2025-04-28,,In Transit
2025-04-13 11:49:44.144876,Jane Vargas,17:55:43,"Lake Joseph, Virginia, Marshall Islands - 26536",ELEC-CAM-0004,Electronics,Cameras,4,Credit Card,$181.78,Supplier_2,Brown-Walters,nwr-42333963,2025-04-15,2025-04-22,2025-04-22,Delivered
2025-04-19 01:14:38.032665,Christopher Fisher,10:33:13,"Lake Kristine, Virginia, Korea - 25316",FURN-CHR-0006,Furniture,Chairs,2,Debit Card,$150.69,Supplier_2,Myers PLC,WRW-89063368,2025-04-20,2025-04-24,,Order Received
2025-04-04 08:25:14.137678,Mary Simon,09:25:36,"East George, Utah, Taiwan - 54534",ELEC-LAP-0003,Electronics,Laptops,5,Paypal,"$1,804.80","Supplier_1, Supplier_4",Bailey-Perez,unm-31990888,2025-04-04,2025-04-06,2025-04-06,Delivered
2025-04-08 05:36:09.933578,Kimberly Morris,00:59:18,"New Jeremyside, Georgia, Pakistan - 36785",GROC-FRT-0006,Groceries,Fruits,2,Credit Card,"$1,504.54",Supplier_8,Conner Inc,GCw-66747154,2025-04-08,2025-04-14,2025-04-14,Delivered
2025-04-28 05:44:12.233387,Jonathan Rogers,04:51:37,"West Billy, Kentucky, Nepal - 10041",FURN-BED-0004,Furniture,Beds,2,Paypal,$647.14,"Supplier_10, Supplier_2","Garrett, Garcia and Higgins",VoI-11901617,2025-04-28,2025-05-04,,In Transit
2025-04-29 07:20:27.912981,Christopher Moore II,02:56:13,"North Brandonmouth, Montana, Cambodia - 72884",APPR-JNS-0002,Apparel,Jeans,3,Credit Card,$545.89,Supplier_8,Brown-Jennings,Qop-08057297,2025-04-29,2025-05-03,2025-05-03,Delivered
2025-04-26 11:26:41.979893,David Armstrong,07:34:24,"New Manuel, Mississippi, Myanmar - 64230",AUTO-FIL-0008,Automotive,Filters,1,Credit Card,$856.33,Supplier_1,Joseph and Sons,YYL-55282034,2025-04-26,2025-05-01,,Out for Delivery
2025-04-27 10:58:44.941096,Katherine Reynolds,20:21:54,"East Michellefort, New Hampshire, Peru - 23834",APPR-SHS-0003,Apparel,Shoes,4,Paypal,$436.33,"Supplier_3, Supplier_2",Hall-Stewart,jQf-23525616,2025-04-27,2025-04-29,,Processing
2025-04-25 05:36:42.536989,Matthew Hoffman,17:38:50,"South Michele, Michigan, Gabon - 24623",AUTO-FIL-0002,Automotive,Filters,3,Credit Card,$922.24,Supplier_3,"Gonzalez, Coleman and Guerrero",PeU-99631364,2025-04-27,2025-05-02,,Order Received
2025-05-02 15:57:01.501974,Katherine Fields,06:55:47,"Miguelstad, Ohio, Myanmar - 27680",APPR-JKT-0002,Apparel,Jackets,1,Debit Card,"$1,163.29",Supplier_3,"Clay, Doyle and Powers",etj-47150519,2025-05-04,2025-05-10,,Cancelled
2025-04-25 00:04:59.110414,Stephanie Perez,05:01:43,"East Michaelburgh, North Dakota, Kuwait - 48049",ELEC-CAM-0008,Electronics,Cameras,3,Paypal,$108.09,Supplier_3,Evans Ltd,Tni-25533888,2025-04-25,2025-05-01,,Cancelled
2025-04-24 10:59:32.423071,Thomas Johnson,16:27:03,"Thomastown, Tennessee, Australia - 10058",AUTO-TIR-0004,Automotive,Tires,5,Paypal,$514.26,Supplier_2,Cisneros-Campbell,zlF-72746879,2025-04-25,2025-04-30,,In Transit
2025-04-16 08:45:21.603468,Jeffrey Odonnell,18:46:53,"Smithburgh, Michigan, Pakistan - 31845",APPR-JNS-0001,Apparel,Jeans,1,Credit Card,$459.48,Supplier_7,Holt-Joseph,lQA-84386733,2025-04-16,2025-04-20,2025-04-20,Delivered
2025-04-14 17:49:47.882919,Caroline Singleton,18:07:15,"North Corey, Michigan, Chile - 77106",ELEC-SM-0007,Electronics,Smartphones,3,Debit Card,$524.44,"Supplier_4, Supplier_2",Harper Inc,rBq-87492672,2025-04-15,2025-04-22,,Cancelled
2025-04-11 17:45:59.426647,Nicholas Raymond,23:08:47,"West Kimberlyville, Kansas, United Kingdom - 46920",GROC-BEV-0006,Groceries,Beverages,3,Credit Card,"$1,119.67",Supplier_6,Williams Group,kVr-14006802,2025-04-13,2025-04-17,2025-04-17,Delivered
2025-04-21 10:57:19.669094,Lauren Roy,18:54:50,"Maryport, New Hampshire, Singapore - 53962",GROC-VEG-0008,Groceries,Vegetables,1,Debit Card,$689.03,Supplier_2,Reynolds Ltd,KWm-37045510,2025-04-23,2025-04-26,,In Transit
2025-04-10 17:06:57.036800,Caitlin Davis,01:40:13,"Websterside, Illinois, Grenada - 70194",APPR-JKT-0001,Apparel,Jackets,2,Credit Card,$572.79,Supplier_4,Robertson-Dawson,RUt-65864787,2025-04-12,2025-04-17,,In Transit
2025-04-20 10:07:12.701336,Madison Klein,01:08:35,"Lake Ronaldfurt, Vermont, Albania - 82573",ELEC-LAP-0007,Electronics,Laptops,1,Paypal,$228.88,Supplier_2,Keller-Reeves,ZOm-95993162,2025-04-21,2025-04-25,,Out for Delivery
2025-04-11 12:34:25.629047,Dr. Felicia Parker DDS,04:04:55,"Lake James, Alabama, Saint Vincent and the Grenadines - 09753",ELEC-TAB-0002,Electronics,Tablets,1,Credit Card,"$1,581.06",Supplier_5,"Johnson, Reed and Thompson",gSJ-03539555,2025-04-13,2025-04-15,2025-04-15,Delivered
2025-04-05 11:08:19.717434,James Lynch,02:53:37,"Melissafort, Ohio, Belgium - 80798",ELEC-CAM-0009,Electronics,Cameras,2,Credit Card,$122.44,Supplier_1,Moran and Sons,fSJ-93765385,2025-04-07,2025-04-10,2025-04-10,Delivered
2025-04-10 12:19:16.980443,Mercedes Lee,04:47:07,"North Ashley, North Dakota, United Arab Emirates - 42195",FURN-CAB-0004,Furniture,Cabinets,4,Debit Card,"$1,497.71",Supplier_8,Anderson-Johnson,ODb-55208466,2025-04-10,2025-04-14,2025-04-14,Delivered
2025-05-02 12:09:12.375799,John Gibson,20:50:53,"Delgadomouth, Maine, Malta - 34577",ELEC-CAM-0009,Electronics,Cameras,1,Credit Card,$122.44,Supplier_1,Mills-Richardson,AIz-03175597,2025-05-03,2025-05-08,,In Transit
2025-04-24 08:02:32.809273,Jeffrey Willis,08:43:04,"Elizabethville, New Mexico, Vanuatu - 92896",GROC-FRT-0005,Groceries,Fruits,2,Debit Card,"$1,046.64",Supplier_10,Barron Ltd,qwS-39102061,2025-04-24,2025-04-26,2025-04-26,Delivered
2025-04-27 05:58:12.391776,Marcus Rojas,20:50:04,"Robinsonside, South Dakota, Ethiopia - 97054",AUTO-FIL-0004,Automotive,Filters,1,Credit Card,"$1,246.55","Supplier_3, Supplier_2","Morrison, Miller and Howe",Csw-51819707,2025-04-28,2025-05-04,,Processing
2025-04-21 14:54:07.081769,Patrick Young,07:02:56,"East Anthonyview, Pennsylvania, American Samoa - 29994",FURN-CHR-0006,Furniture,Chairs,3,Paypal,$150.69,Supplier_2,"Byrd, Beck and Gardner",OfN-18418681,2025-04-23,2025-04-29,2025-04-29,Delivered
2025-04-27 13:49:05.415897,Jeffrey Fleming,19:44:38,"Sheilastad, Louisiana, Australia - 74381",FURN-CHR-0003,Furniture,Chairs,3,Credit Card,$382.85,Supplier_8,"Taylor, Shepard and Blake",zLe-74730322,2025-04-29,2025-05-04,,Processing
2025-04-19 00:20:29.845891,Angela Smith,17:24:11,"Port Pedro, Wyoming, Tonga - 18132",APPR-SHS-0001,Apparel,Shoes,2,Paypal,$959.30,"Supplier_9, Supplier_6","Monroe, Berry and Ryan",JiD-48675316,2025-04-21,2025-04-24,2025-04-24,Delivered
2025-05-02 06:02:26.882653,Richard Raymond DVM,02:36:32,"Clarkshire, New Jersey, British Virgin Islands - 66069",APPR-SHS-0003,Apparel,Shoes,3,Credit Card,$436.33,"Supplier_3, Supplier_2",Banks-Holmes,LSm-50747073,2025-05-04,2025-05-08,,In Transit
2025-05-02 13:34:33.264467,Glenn Sanchez,12:52:30,"Michaelside, Missouri, Qatar - 73507",FURN-CHR-0003,Furniture,Chairs,3,Debit Card,$382.85,Supplier_8,Ward-Clayton,Bte-96088138,2025-05-04,2025-05-09,,Cancelled
2025-04-17 10:21:42.498192,Brenda Clark,21:56:42,"Kramerfurt, North Carolina, Sudan - 98305",ELEC-SM-0004,Electronics,Smartphones,3,Credit Card,"$1,206.10",Supplier_7,Leon PLC,glq-43224788,2025-04-19,2025-04-25,2025-04-25,Delivered
2025-04-20 04:29:41.317422,Stephanie Baker,08:37:21,"Meyerstown, Washington, Gabon - 05108",APPR-SHT-0011,Apparel,Shirts,3,Debit Card,"$1,331.58","Supplier_1, Supplier_3",Moore-Simmons,ZUA-83095479,2025-04-20,2025-04-27,,Processing
2025-04-23 16:22:16.875643,Michael Porter,09:26:33,"Davidberg, North Carolina, Solomon Islands - 89855",ELEC-SM-0009,Electronics,Smartphones,1,Credit Card,"$1,100.54","Supplier_2, Supplier_7",Hendrix-Martinez,FTu-99310702,2025-04-23,2025-04-28,2025-04-28,Delivered
2025-04-18 05:56:21.634702,Kimberly Martin,20:04:03,"New Angela, Oregon, Tuvalu - 50109",AUTO-TIR-0003,Automotive,Tires,3,Credit Card,"$1,035.24","Supplier_9, Supplier_2",Taylor PLC,Phm-19202165,2025-04-19,2025-04-23,2025-04-26,Delayed
2025-04-20 01:30:42.015751,Miss Jennifer Nash,05:37:45,"North Christopher, Illinois, Botswana - 62664",ELEC-CAM-0005,Electronics,Cameras,2,Credit Card,$504.93,Supplier_5,Byrd Group,IYs-33785207,2025-04-20,2025-04-27,2025-04-27,Delivered
